m,c
-2.572,2.5735998493919103
-2.571,2.572604912344245
-2.57,2.571609989937153
-2.569,2.570615082208317
-2.568,2.5696201891955015
-2.567,2.5686253109365533
-2.566,2.5676304474694005
-2.565,2.5666355988320557
-2.564,2.565640765062614
-2.563,2.564645946199253
-2.562,2.563651142280232
-2.561,2.5626563533438973
-2.56,2.5616615794286743
-2.559,2.560666820573075
-2.558,2.5596720768156933
-2.557,2.558677348195208
-2.556,2.5576826347503805
-2.555,2.556687936520058
-2.554,2.5556932535431693
-2.553,2.5546985858587306
-2.552,2.5537039335058402
-2.551,2.552709296523682
-2.55,2.551714674951525
-2.549,2.5507200688287224
-2.548,2.549725478194712
-2.547,2.548730903089018
-2.546,2.547736343551249
-2.545,2.546741799621098
-2.544,2.5457472713383473
-2.543,2.5447527587428613
-2.542,2.54375826187459
-2.541,2.5427637807735723
-2.54,2.5417693154799306
-2.539,2.540774866033876
-2.538,2.539780432475703
-2.537,2.5387860148457957
-2.536,2.5377916131846225
-2.535,2.536797227532739
-2.534,2.5358028579307885
-2.533,2.5348085044195026
-2.532,2.533814167039697
-2.531,2.5328198458322775
-2.53,2.531825540838235
-2.529,2.530831252098651
-2.528,2.529836979654692
-2.527,2.5288427235476147
-2.526,2.5278484838187616
-2.525,2.5268542605095656
-2.524,2.5258600536615465
-2.523,2.5248658633163124
-2.522,2.5238716895155617
-2.521,2.5228775323010804
-2.52,2.521883391714743
-2.519,2.520889267798514
